Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c3ccffe4f43d820dacc0aa17f71043f76635a7a642a2299481bb1ba7bcf7be20,2017-12,City of London Police,City of London Police,-0.076853,51.511916,On or near Nightclub,E01032739,City of London 001F,Offender fined
25be972d934bba21b3629d720b3761e1ac0897982221eebe42200eb3b981569f,2017-12,City of London Police,City of London Police,-0.076853,51.511916,On or near Nightclub,E01032739,City of London 001F,Offender given suspended prison sentence
e1cc37ba0a9d6aecfa66cccdccb2cacecdf530ac0d98b165ef1133d9129baf70,2017-12,City of London Police,City of London Police,-0.076853,51.511916,On or near Nightclub,E01032739,City of London 001F,Offender given suspended prison sentence
5b012f95e8065054e9a73b3350e4c3719b55e2f2795764d40f60823c01c4491a,2017-12,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender sent to prison
