,location,characteristic,floor_type,hkd_millions,rent_hkd,area_sqft,address,last_updated,pay_per_month_K,loan_percent,first_payment_M,full_address
4097,New Territories East,"Spacious Rooms, Quiet & Central",Low Floor Zone (Flat D),12.0,,971.0,Ma On Shan Flat D Block 6 Villa Oceania  Low Floor Zone,Last Updated : 13-03-2018,31.7,50.0,16.0,"Hong Kong, New Territories East, Ma On Shan Flat D Block 6 Villa Oceania  Low Floor Zone"
4098,New Territories East,"Good Layout & Efficient, Greenery Environment",High Floor Zone                                                                        | North,9.5,,884.0,Tai Po Mid Level/Hong Lok Yuen    Parc Versailles High Floor Zone,Last Updated : 10-03-2018,26.4,52.0,14.5,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen    Parc Versailles High Floor Zone"
4099,New Territories East,"Nice Decoration, Good Layout, Efficient, Spacious, Convenient, Deluxe Decoration",Medium Floor Zone                                                                        | South East,20.8,,1705.0,Tai Po Mid Level/Hong Lok Yuen   Deerhill Villas Deerhill Bay Medium Floor Zone,Last Updated : 10-03-2018,55.1,50.0,110.4,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen   Deerhill Villas Deerhill Bay Medium Floor Zone"
4100,New Territories East,5-Star Club House,Medium Floor Zone (Flat B)                                                                        | East,19.0,,1222.0,Fotan/Shatin Mid Level/Kau To Shan Flat B Block 10 The Palazzo  Medium Floor Zone,Last Updated : 08-03-2018,50.3,50.0,19.5,"Hong Kong, New Territories East, Fotan/Shatin Mid Level/Kau To Shan Flat B Block 10 The Palazzo  Medium Floor Zone"
4101,New Territories East,"5-Star Club House, Nice Decoration",Low Floor Zone,6.8,,578.0,Sheung Shui/Fanling/Kwu Tung  Block 2 Dawning Views  Low Floor Zone,Last Updated : 07-03-2018,22.2,61.0,12.6,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung  Block 2 Dawning Views  Low Floor Zone"
4102,New Territories East,"Spacious Rooms, Good Layout & Efficient",Medium Floor Zone                                                                        | South East,6.5,,482.0,Ma On Shan  Tower 1 The Waterside  Medium Floor Zone,Last Updated : 20-02-2018,22.2,64.0,12.3,"Hong Kong, New Territories East, Ma On Shan  Tower 1 The Waterside  Medium Floor Zone"
4103,New Territories East,"Grandstand View, 5-Star Club House",High Floor Zone,13.98,,1098.0,Tai Po Mid Level/Hong Lok Yuen   Constellation Cove  High Floor Zone,Last Updated : 06-03-2018,37.0,50.0,16.99,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen   Constellation Cove  High Floor Zone"
4104,New Territories East,"Good Layout & Efficient, 5-Star Club House",Medium Floor Zone (Flat B),12.8,,762.0,Ma On Shan Flat B Tower 8 Lake Silver  Medium Floor Zone,Last Updated : 06-03-2018,33.9,50.0,16.4,"Hong Kong, New Territories East, Ma On Shan Flat B Tower 8 Lake Silver  Medium Floor Zone"
4105,New Territories East,5-Star Club House,High Floor Zone                                                                        | South East,5.56,,420.0,Sheung Shui/Fanling/Kwu Tung   Grand Regentville Regentville High Floor Zone,Last Updated : 07-03-2018,20.6,70.0,11.67,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Grand Regentville Regentville High Floor Zone"
4106,New Territories East,"Good Layout & Efficient, Quiet & Boutique Living",Low Floor Zone (Flat B),12.0,,1128.0,Sai Kung Flat B Block 2 Villa Rhapsody Symphony Bay Low Floor Zone,Last Updated : 13-03-2018,31.7,50.0,16.0,"Hong Kong, New Territories East, Sai Kung Flat B Block 2 Villa Rhapsody Symphony Bay Low Floor Zone"
